City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Isangel,VU,2022-05-16 00:07:32,-19.55,169.2667,79.3,70,40,14.34
105,Bengkulu,ID,2022-05-16 00:07:33,-3.8004,102.2655,76.5,91,97,4.32
106,Chokwe,MZ,2022-05-16 00:07:33,-24.5333,32.9833,64.06,97,16,6.38
107,Ribeira Grande,PT,2022-05-16 00:07:34,38.5167,-28.7,60.17,80,85,43.98
108,Victor Harbor,AU,2022-05-16 00:07:35,-35.5667,138.6167,59.0,71,56,13.02
109,Miyang,CN,2022-05-16 00:07:35,24.4042,103.4428,53.53,92,100,2.59
110,Tual,ID,2022-05-16 00:07:36,-5.6667,132.75,82.65,72,99,8.97
111,Iqaluit,CA,2022-05-16 00:07:36,63.7506,-68.5145,25.7,79,93,15.01
112,Cabedelo,BR,2022-05-16 00:07:37,-6.9811,-34.8339,77.67,85,92,8.84
113,Katobu,ID,2022-05-16 00:07:38,-4.9408,122.5276,82.56,76,17,4.38
114,Kushima,JP,2022-05-16 00:07:38,31.4583,131.2333,57.88,90,100,2.28
115,Takab,IR,2022-05-16 00:07:39,36.4009,47.1133,56.17,48,32,3.69
116,Hithadhoo,MV,2022-05-16 00:07:39,-0.6,73.0833,82.69,76,99,12.15
117,Nortelandia,BR,2022-05-16 00:07:40,-14.4547,-56.8028,78.66,66,27,7.14
118,The Valley,AI,2022-05-16 00:07:40,18.217,-63.0578,80.46,78,96,21.21
119,Broome,US,2022-05-16 00:07:41,42.2506,-75.833,70.56,83,0,6.91
120,Busselton,AU,2022-05-16 00:07:42,-33.65,115.3333,55.02,73,42,8.68
121,Cabo San Lucas,MX,2022-05-16 00:07:42,22.8909,-109.9124,94.3,14,40,12.66
122,Haines Junction,CA,2022-05-16 00:07:43,60.7522,-137.5108,44.22,66,92,1.28
123,Guerrero Negro,MX,2022-05-16 00:07:43,27.9769,-114.0611,69.49,60,98,17.29
124,Vallenar,CL,2022-05-16 00:07:44,-28.5708,-70.7581,60.13,55,0,2.66
125,San Joaquin,US,2022-05-16 00:07:44,37.9333,-121.3011,86.25,35,0,21.85
126,Saint-Louis,SN,2022-05-16 00:07:45,16.3333,-15.0,93.58,10,67,8.16
127,Havoysund,NO,2022-05-16 00:07:45,70.9963,24.6622,39.43,98,100,12.1
128,Nantucket,US,2022-05-16 00:07:46,41.2835,-70.0995,59.05,97,100,9.22
129,Te Anau,NZ,2022-05-16 00:06:00,-45.4167,167.7167,55.67,63,10,2.71
130,Mindif,CM,2022-05-16 00:07:47,10.3976,14.4363,84.6,49,92,6.53
131,Moron,AR,2022-05-16 00:07:47,-34.6534,-58.6198,55.15,57,24,9.73
132,Del Rio,US,2022-05-16 00:03:44,29.3627,-100.8968,100.51,15,0,10.36
133,Namibe,AO,2022-05-16 00:07:48,-15.1961,12.1522,71.8,60,1,6.91
134,Puerto Escondido,MX,2022-05-16 00:07:48,15.85,-97.0667,86.83,66,75,5.75
135,Zhigalovo,RU,2022-05-16 00:07:49,54.8097,105.1578,56.61,47,99,3.62
136,Nipawin,CA,2022-05-16 00:07:50,53.3668,-104.0009,50.07,53,70,13.85
137,Ulaanbaatar,MN,2022-05-16 00:07:50,47.9077,106.8832,54.63,25,73,1.92
138,Yulara,AU,2022-05-16 00:07:51,-25.2406,130.9889,64.74,28,0,14.63
139,Bestobe,KZ,2022-05-16 00:07:51,52.4994,73.0975,59.27,69,92,9.37
140,Frunze,UA,2022-05-16 00:07:52,48.6686,38.7544,49.15,90,21,9.82
141,Kinchil,MX,2022-05-16 00:08:52,20.9167,-89.95,83.05,56,0,8.48
142,Okha,RU,2022-05-16 00:04:52,53.5739,142.9478,35.15,99,89,7.34
143,Qaanaaq,GL,2022-05-16 00:08:53,77.484,-69.3632,22.53,75,99,4.52
144,Hobart,AU,2022-05-16 00:08:24,-42.8794,147.3294,51.66,73,20,19.57
145,Bambous Virieux,MU,2022-05-16 00:08:54,-20.3428,57.7575,72.21,84,62,11.14
146,Yellowknife,CA,2022-05-16 00:06:43,62.456,-114.3525,51.57,40,100,11.99
147,Milkovo,RU,2022-05-16 00:08:54,54.7167,158.6167,42.48,71,100,4.74
148,Cherskiy,RU,2022-05-16 00:08:55,68.75,161.3,32.92,84,90,8.25
149,Kidal,ML,2022-05-16 00:08:56,18.4411,1.4078,90.07,25,40,8.97
150,Nicoya,CR,2022-05-16 00:08:56,10.1483,-85.452,81.18,80,99,3.8
151,Hualmay,PE,2022-05-16 00:08:57,-11.0964,-77.6139,63.77,83,63,7.67
152,Jackson,US,2022-05-16 00:08:57,42.4165,-122.8345,79.16,42,0,14.97
153,Road Town,VG,2022-05-16 00:06:21,18.4167,-64.6167,80.64,78,20,11.5
154,Skole,UA,2022-05-16 00:08:58,49.0372,23.5135,45.14,92,9,2.95
155,Mareeba,AU,2022-05-16 00:08:59,-17.0,145.4333,80.65,68,31,1.12
156,Fort Morgan,US,2022-05-16 00:08:59,40.2503,-103.8,74.05,21,0,6.91
157,Salalah,OM,2022-05-16 00:09:00,17.0151,54.0924,82.49,47,0,6.91
158,Synya,RU,2022-05-16 00:09:01,65.3718,58.0387,39.25,99,95,2.66
159,Georgetown,MY,2022-05-16 00:04:38,5.4112,100.3354,80.53,94,40,2.3
160,Varberg,SE,2022-05-16 00:09:01,57.1056,12.2508,43.93,91,58,2.93
161,Le Port,RE,2022-05-16 00:09:02,-20.9373,55.2919,73.36,64,17,3.0
162,Chokurdakh,RU,2022-05-16 00:09:02,70.6333,147.9167,19.96,83,99,11.25
163,Chuy,UY,2022-05-16 00:09:03,-33.6971,-53.4616,49.14,66,19,10.11
164,Pangnirtung,CA,2022-05-16 00:06:18,66.1451,-65.7125,18.66,95,49,3.33
165,Kavieng,PG,2022-05-16 00:09:04,-2.5744,150.7967,83.73,66,97,3.47
166,Rudbar,AF,2022-05-16 00:09:05,30.15,62.6,72.09,24,0,13.4
167,Kavaratti,IN,2022-05-16 00:09:06,10.5669,72.642,79.65,85,100,15.21
168,Port Augusta,AU,2022-05-16 00:09:06,-32.5,137.7667,61.83,64,37,7.29
169,Lompoc,US,2022-05-16 00:04:52,34.6391,-120.4579,73.69,82,100,16.11
170,Lock Haven,US,2022-05-16 00:09:08,41.137,-77.4469,72.09,99,74,4.29
171,San Pedro,PH,2022-05-16 00:09:09,14.35,121.0167,83.43,83,75,2.3
172,Ketchikan,US,2022-05-16 00:06:59,55.3422,-131.6461,48.67,87,100,8.05
