City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Sur,OM,22.5667,59.5289,91.81,42,0,15.97,clear sky
105,Cangzhou,CN,38.3167,116.8667,71.02,43,25,7.7,scattered clouds
106,Smidovich,RU,48.6,133.8167,48.49,69,59,10.4,broken clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,68,0,10.36,clear sky
108,Aklavik,CA,68.2191,-135.0107,35.67,59,98,9.24,overcast clouds
109,Ambilobe,MG,-13.2,49.05,73.71,70,72,4.16,broken clouds
110,Ahipara,NZ,-35.1667,173.1667,62.28,62,100,11.21,overcast clouds
111,Ancud,CL,-41.8697,-73.8203,47.57,72,17,15.57,light rain
112,Ambanja,MG,-13.6833,48.45,74.32,91,100,3.09,overcast clouds
113,Hambantota,LK,6.1241,81.1185,79.18,84,90,16.4,overcast clouds
114,Mount Vernon,US,40.9126,-73.8371,91.63,58,75,10.36,broken clouds
115,Bad Hofgastein,AT,47.1667,13.1,61.14,86,84,0.27,broken clouds
116,Sakakah,SA,29.9697,40.2064,80.17,26,2,20.69,clear sky
117,Saint-Philippe,RE,-21.3585,55.7679,67.59,73,40,10.69,scattered clouds
118,Barrow,US,71.2906,-156.7887,24.82,80,100,8.05,mist
119,Maketu,NZ,-37.7667,176.45,60.03,79,60,6.49,broken clouds
120,Batken,KG,39.8333,71.0,37.17,77,100,0.92,overcast clouds
121,Pioner,RU,55.3166,85.9508,63.84,63,20,20.13,few clouds
122,Lavrentiya,RU,65.5833,-171.0,39.56,81,100,8.1,overcast clouds
123,San Patricio,US,28.017,-97.5169,85.86,58,100,12.19,overcast clouds
124,Idaho Falls,US,43.4666,-112.0341,47.86,71,40,12.66,scattered clouds
125,Deer Lake,CA,49.1667,-57.4316,57.06,88,100,0.0,overcast clouds
126,La Encarnacion,HN,14.6667,-89.0833,77.65,85,94,0.51,overcast clouds
127,Kawalu,ID,-7.3817,108.2082,71.2,94,74,3.18,broken clouds
128,Avera,US,33.194,-82.5271,89.65,34,100,10.71,light rain
129,Harer,ET,9.3094,42.1258,60.66,28,55,3.83,broken clouds
130,Koslan,RU,63.4564,48.8989,29.48,94,100,11.65,snow
131,Gat,IL,31.61,34.7642,66.88,100,0,10.33,clear sky
132,Doka,SD,13.5167,35.7667,84.02,39,97,5.97,overcast clouds
133,Vestmannaeyjar,IS,63.4427,-20.2734,50.63,73,2,2.95,clear sky
134,Kungurtug,RU,50.5994,97.5228,52.34,38,100,3.0,overcast clouds
135,Port Blair,IN,11.6667,92.75,82.71,82,100,22.53,overcast clouds
136,Castro,BR,-24.7911,-50.0119,49.66,80,1,3.2,clear sky
137,Awjilah,LY,29.1081,21.2869,71.71,29,0,7.9,clear sky
138,Sale,MA,34.0389,-6.8166,66.88,82,75,4.61,broken clouds
139,Rock Springs,US,41.5875,-109.2029,57.04,27,40,5.01,scattered clouds
140,Yellowknife,CA,62.456,-114.3525,37.92,65,100,9.22,light snow
141,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,3.44,overcast clouds
142,Zhob,PK,31.3411,69.4481,68.65,10,0,4.79,clear sky
143,Kihei,US,20.785,-156.4656,87.82,68,20,23.02,few clouds
144,Sal Rei,CV,16.1833,-22.9167,71.4,78,20,13.24,few clouds
145,Saint George,US,37.1041,-113.5841,87.64,10,0,14.97,clear sky
146,Saint-Augustin,CA,51.226,-58.6502,50.81,86,70,10.31,broken clouds
147,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,20,5.75,few clouds
148,Norman Wells,CA,65.282,-126.8329,48.24,43,75,5.75,broken clouds
149,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.17,66,22,2.04,few clouds
150,Alexandria,EG,31.2156,29.9553,67.96,83,20,10.36,few clouds
151,Sauda,NO,59.6506,6.3542,56.68,81,100,2.95,light rain
152,Victoria,HK,22.2855,114.1577,75.96,93,95,18.01,overcast clouds
153,Codrington,AU,-38.2667,141.9667,43.61,89,1,7.16,clear sky
154,Kahului,US,20.8947,-156.47,87.82,42,20,23.02,few clouds
155,Castelldefels,ES,41.2779,1.9703,76.98,79,0,1.14,clear sky
156,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,94,100,6.91,fog
157,Nikolskoye,RU,59.7035,30.7861,40.91,61,17,3.36,few clouds
158,Kota Kinabalu,MY,5.9749,116.0724,76.98,83,20,5.75,few clouds
159,Umm Lajj,SA,25.0213,37.2685,78.31,52,4,11.97,clear sky
160,Narsaq,GL,60.9167,-46.05,39.42,97,98,6.8,overcast clouds
161,Buta,CD,2.7858,24.73,71.24,96,100,1.25,overcast clouds
162,Kjollefjord,NO,70.9457,27.3465,44.65,86,50,4.97,scattered clouds
163,Sitka,US,57.0531,-135.33,51.69,71,100,10.36,overcast clouds
164,Leer,DE,53.2316,7.461,57.94,79,99,7.87,overcast clouds
165,Bitung,ID,1.4451,125.1824,76.05,80,100,4.29,overcast clouds
166,Zambezi,ZM,-13.5432,23.1047,53.74,47,24,5.57,few clouds
167,Cherskiy,RU,68.75,161.3,55.67,40,93,18.01,overcast clouds
168,Sao Filipe,CV,14.8961,-24.4956,71.89,78,6,6.13,clear sky
169,Sorland,NO,67.667,12.6934,46.26,90,90,5.28,overcast clouds
170,Ust-Ilimsk,RU,58.0006,102.6619,45.09,82,5,1.86,clear sky
171,Camacha,PT,33.0833,-16.3333,63.82,72,40,12.66,scattered clouds
172,Katsuura,JP,35.1333,140.3,67.95,83,31,2.68,scattered clouds
173,Lagoa,PT,39.05,-27.9833,61.68,93,100,10.96,light rain
174,Santa Rosa,PH,14.3122,121.1114,81.01,88,98,1.72,overcast clouds
175,Chistoye,RU,56.5375,43.0045,28.4,91,60,5.57,broken clouds
176,Alice Springs,AU,-23.7,133.8833,57.83,59,25,5.75,scattered clouds
177,Diourbel,SN,14.6628,-16.3925,70.05,81,34,11.25,scattered clouds
178,Tautira,PF,-17.7333,-149.15,79.7,74,21,12.77,few clouds
179,Thompson,CA,55.7435,-97.8558,64.56,22,100,16.11,overcast clouds
180,Siniscola,IT,40.5719,9.6922,62.15,49,2,3.58,clear sky
181,Avarua,CK,-21.2078,-159.775,82.45,83,75,11.5,broken clouds
182,San Policarpo,PH,12.1791,125.5072,81.05,83,70,9.57,broken clouds
183,Chingirlau,KZ,51.095,54.0814,50.95,96,100,9.42,light rain
184,Ugoofaaru,MV,5.6667,73.0,83.12,78,64,15.3,broken clouds
185,Griffin,US,33.2468,-84.2641,83.41,59,100,5.75,overcast clouds
186,Inhambane,MZ,-23.865,35.3833,68.7,93,97,5.39,light rain
187,Bosaso,SO,11.2842,49.1816,84.47,59,12,2.68,few clouds
188,Atar,MR,20.5169,-13.0499,90.36,18,53,4.47,broken clouds
189,Sobolevo,RU,54.4299,31.8996,37.69,78,9,5.01,clear sky
190,Bharatpur,IN,27.2167,77.4833,86.13,40,12,12.06,few clouds
191,Lompoc,US,34.6391,-120.4579,77.77,71,0,23.0,clear sky
192,Ulladulla,AU,-35.35,150.4667,56.14,81,99,7.74,light rain
193,Puerto Madryn,AR,-42.7692,-65.0385,47.19,62,100,15.7,overcast clouds
194,Smithers,CA,54.7804,-127.1743,64.72,24,40,9.22,scattered clouds
195,Kamenka,RU,51.3223,42.7678,44.17,95,94,9.91,overcast clouds
196,Naliya,IN,23.2667,68.8333,83.03,76,93,22.82,overcast clouds
197,Cervo,ES,43.6702,-7.4101,55.96,88,88,8.19,overcast clouds
198,Pahrump,US,36.2083,-115.9839,89.65,9,58,4.0,broken clouds
199,Lazaro Cardenas,MX,17.9583,-102.2,82.31,66,10,11.95,clear sky
200,Storforshei,NO,66.4043,14.5233,43.66,87,99,1.14,overcast clouds
201,Progreso,MX,21.2833,-89.6667,85.1,83,64,12.97,broken clouds
202,Coihaique,CL,-45.5752,-72.0662,37.35,81,75,9.22,broken clouds
203,Natal,BR,-5.795,-35.2094,77.65,94,0,8.05,clear sky
204,La Palma,US,33.8464,-118.0467,83.66,56,20,13.8,few clouds
205,Lebu,CL,-37.6167,-73.65,51.33,81,100,8.75,overcast clouds
206,Hinton,CA,53.4001,-117.5857,60.48,28,99,8.25,overcast clouds
207,Puro,PH,12.4841,123.3827,82.15,76,99,7.45,overcast clouds
208,Iwanai,JP,42.9744,140.5089,59.92,84,100,1.61,overcast clouds
209,Norheimsund,NO,60.3709,6.1456,55.15,83,100,2.86,overcast clouds
210,Cabo San Lucas,MX,22.8909,-109.9124,84.61,42,0,10.36,clear sky
211,Bengkulu,ID,-3.8004,102.2655,75.51,89,38,3.13,scattered clouds
212,Touros,BR,-5.1989,-35.4608,75.76,91,19,13.04,few clouds
213,Pontianak,ID,-0.0333,109.3333,76.98,100,100,1.14,overcast clouds
214,Torbay,CA,47.6666,-52.7314,57.97,59,100,13.8,overcast clouds
